NEW OFFICE,EST_ID,NEW TASK ID,NEW ENF TASK,EST_NAME
Kukatpally,APHYD1815124000,30102,70101,COMPAGNIE INDO- FRANCAISE DE COMMERCE PRIVATE LIMITED
Kukatpally,APHYD0042756000,30103,70101,VIMAL POWER LINES
Kukatpally,APHYD0081305000,30104,70101,RUDHRAKASH SECURITY FORCE
Kukatpally,APHYD0027340000,30105,70101,DELHI RAJESTHAN TRANSPORT P LTD
Kukatpally,APHYD0081342000,30201,70101, TCI DEVELOPERS LTD
Kukatpally,APHYD0081951000,30202,70101,"IIMAAA, HYDERABAD CHARITABLE TRUST(UDBHAV SCHOOL)"
Kukatpally,APHYD2597692000,30203,70101,LCGC TRUCAL AND SERVICES LLP
Kukatpally,APHYD2899553000,30203,70101,ADITI APPARELS
Kukatpally,APHYD0018407000,30202,70101,"CHERMAS EXTENSION,"
Kukatpally,APHYD0029887000,30201,70101,AIROSPORES - EQUIPMENTS
Kukatpally,APHYD0072878000,30105,70101,BULZER TECH
Kukatpally,APHYD0081730000,30104,70101,STATRON INDIA PVT LIMITED
Kukatpally,APHYD0082517000,30103,70101,MARUTHI RICH VENTURES (P) LTD
Kukatpally,APHYD2012495000,30102,70101,KETO MOTORS PRIVATE LIMITED
Kukatpally,APHYD2531330000,30101,70101,ENHANCOR SERVICES PRIVATE LIMITED
Kukatpally,APHYD0000997000,30101,70101,"ALPHA HOTEL AND STORES,"
Kukatpally,APHYD0001527000,30102,70101,"CH. YENGAIAH - SONS,"
Kukatpally,APHYD0052425000,30103,70101,SRINIVASA ELECTRICALS
Kukatpally,APHYD0063858000,30104,70101,OPTONET TECHNOLOGIES (P) LIMITED
Kukatpally,APHYD0082003000,30105,70101,NEORISE CONSTRUCTIONS
Kukatpally,APHYD0082166000,30201,70101,COMPUTER BAZAR
Kukatpally,APHYD1397666000,30202,70101,AUTO SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD1641157000,30203,70101,JAYANT JAIN (PL COMPUTERS)
Kukatpally,APHYD2442313000,30203,70101,DHANUSH SOFTECH PRIVATE LIMITED
Kukatpally,APHYD3046021000,30202,70101,SATYASHEEL SECURITY SERVICES
Kukatpally,APHYD0035987000,30201,70101,JAGADAMBA PEARLS DEALER
Kukatpally,APHYD0047645000,30105,70101,VISHAL SURGICAL EQUIPMENT CO
Kukatpally,APHYD0052002000,30104,70101,"M\S.GITANJALI DEVARAY 42,S.D.ROAD,SECUNDERABAD"
Kukatpally,APHYD0064812000,30103,70101,ALAKNANDA HYDRO POWER COMPANY LTD
Kukatpally,APHYD2343118000,30102,70101,SHREE MALANI COMFORT PRODUCTS PRIVATE LIMITED
Kukatpally,APHYD2785160000,30101,70101,RHETT HEALTH CARE PRIVATE LIMITED
Kukatpally,APHYD2905798000,30101,70101,OCHRE DIGI MEDIA PRIVATE LIMITED
Kukatpally,APHYD0017019000,30102,70101,FUTNANI STEELS PRIVATE LIMITED
Kukatpally,APHYD1530686000,30103,70101,HYDERABAD ZAKAT AND CHARITABLEE TRUST
Kukatpally,APHYD2468983000,30104,70101,SM SQUARE CREDIT SERVICES PRIVATE LIMITED
Kukatpally,APHYD2782250000,30105,70101,PULSE SECURITY SERVICES PRIVATE LIMITED
Kukatpally,APHYD3247940000,30201,70101,KIMS EDUCATIONAL SOCIETY
Kukatpally,APHYD0011257000,30202,70101,ST.ANNS HIGH SCHOOL [ISC]
Kukatpally,APHYD0018950000,30203,70101,MAZDA MOTORS - SONS
Kukatpally,APHYD0035674000,30203,70101,DR. A.K.CHARY RESEARCH - SURGICAL CENTRE
Kukatpally,APHYD0063284000,30202,70101,ASAP-Y SOURCING SOLUTIONS PVT. LTD
Kukatpally,APHYD0063493000,30201,70101,SRI KPR INFRA & PROJECTS LIMITED
Kukatpally,APHYD0063879000,30105,70101,THORAN TECHNOLOGIES AND SERVICES PRIVATE LTD
Kukatpally,APHYD0072818000,30104,70101,B D STEELS PVT LTD
Kukatpally,APHYD1532045000,30103,70101,LUMOS SOFTWARE SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD1811043000,30102,70101,ANNOVA CONSULTING PRIVATE LIMITED
Kukatpally,APHYD1954034000,30101,70101,HEXSTREAM SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD2084489000,30101,70101,CHOICE MARKETING ASSOCIATES
Kukatpally,APHYD2711154000,30102,70101,CASPIAN CORPORATE SERVICES LIMITED
Kukatpally,APHYD0023024000,30103,70101,N ANIL KUMAR HAULAGE CONTRACTOR
Kukatpally,APHYD0044296000,30104,70101,OBEL SYSTEMS PRIVATE LIMITED
